Player,Salary,Season
Raul Neto,"$1,737,145 ",2019-20
Raul Neto,"$1,882,867 ",2020-21
Rashad Vaughn,"$2,338,653 ",2017-18
Ramon Sessions,"$2,986,463 ",2017-18
Rajon Rondo,"$6,300,000 ",2017-18
Rajon Rondo,"$9,000,000 ",2018-19
Rajon Rondo,"$2,564,753 ",2019-20
Rajon Rondo,"$7,500,000 ",2020-21
Rade Zagorac,"$950,000 ",2017-18
Rade Zagorac,"$1,378,242 ",2018-19
Quinndary Weatherspoon,"$79,568 ",2019-20
Quinndary Weatherspoon,"$449,115 ",2020-21
Quinn Cook,"$189,832 ",2017-18
Quinn Cook,"$1,544,951 ",2018-19
Quinn Cook,"$3,000,000 ",2019-20
Quinn Cook,"$1,981,649 ",2020-21
Quincy Pondexter,"$3,853,931 ",2017-18
Quincy Pondexter,"$2,165,481 ",2018-19
Quincy Acy,"$1,709,538 ",2017-18
Quincy Acy,"$213,948 ",2018-19
Precious Achiuwa,"$2,582,160 ",2020-21
PJ Washington,"$3,831,840 ",2019-20
PJ Washington,"$4,023,600 ",2020-21
PJ Tucker,"$7,590,035 ",2017-18
PJ Tucker,"$7,959,537 ",2018-19
PJ Tucker,"$8,349,039 ",2019-20
PJ Tucker,"$7,969,537 ",2020-21
PJ Dozier,"$77,250 ",2017-18
PJ Dozier,"$77,250 ",2018-19
PJ Dozier,"$183,115 ",2019-20
PJ Dozier,"$1,762,796 ",2020-21
Payton Pritchard,"$2,035,800 ",2020-21
Paul Zipser,"$1,312,611 ",2017-18
Paul Watson,"$79,568 ",2019-20
Paul Watson,"$1,445,697 ",2020-21
Paul Reed,"$609,128 ",2020-21
Paul Pierce,"$3,679,840 ",2017-18
Paul Millsap,"$30,769,231 ",2017-18
Paul Millsap,"$29,230,769 ",2018-19
Paul Millsap,"$30,350,000 ",2019-20
Paul Millsap,"$10,100,000 ",2020-21
Paul George,"$19,300,000 ",2017-18
Paul George,"$30,560,700 ",2018-19
Paul George,"$33,005,556 ",2019-20
Paul George,"$35,450,412 ",2020-21
Pau Gasol,"$16,000,000 ",2017-18
Pau Gasol,"$17,133,285 ",2018-19
